Goto,Kernel,State,Closure
Start,"{[L -> .E, $]}",0,"{[L -> .E, $]; [E -> .E + T, $/+]; [E -> .T, $/+]; [T -> .T * F, $/+/*]; [T -> .F, $/+/*]; [F -> .F ^ G, $/+/*/^]; [F -> .G, $/+/*/^]; [G -> .- G, $/+/*/^]; [G -> .Z, $/+/*/^]; [Z -> .( E ), $/+/*/^]; [Z -> .n, $/+/*/^]}"
"goto(0, E)","{[L -> E., $]; [E -> E.+ T, $/+]}",1,"{[L -> E., $]; [E -> E.+ T, $/+]}"
"goto(0, T)","{[E -> T., $/+]; [T -> T.* F, $/+/*]}",2,"{[E -> T., $/+]; [T -> T.* F, $/+/*]}"
"goto(0, F)","{[T -> F., $/+/*]; [F -> F.^ G, $/+/*/^]}",3,"{[T -> F., $/+/*]; [F -> F.^ G, $/+/*/^]}"
"goto(0, G)","{[F -> G., $/+/*/^]}",4,"{[F -> G., $/+/*/^]}"
"goto(0, -)","{[G -> -.G, $/+/*/^]}",5,"{[G -> -.G, $/+/*/^]; [G -> .- G, $/+/*/^]; [G -> .Z, $/+/*/^]; [Z -> .( E ), $/+/*/^]; [Z -> .n, $/+/*/^]}"
"goto(0, Z)","{[G -> Z., $/+/*/^]}",6,"{[G -> Z., $/+/*/^]}"
"goto(0, ()","{[Z -> (.E ), $/+/*/^]}",7,"{[Z -> (.E ), $/+/*/^]; [E -> .E + T, )/+]; [E -> .T, )/+]; [T -> .T * F, )/+/*]; [T -> .F, )/+/*]; [F -> .F ^ G, )/+/*/^]; [F -> .G, )/+/*/^]; [G -> .- G, )/+/*/^]; [G -> .Z, )/+/*/^]; [Z -> .( E ), )/+/*/^]; [Z -> .n, )/+/*/^]}"
"goto(0, n)","{[Z -> n., $/+/*/^]}",8,"{[Z -> n., $/+/*/^]}"
"goto(1, +)","{[E -> E +.T, $/+]}",9,"{[E -> E +.T, $/+]; [T -> .T * F, $/+/*]; [T -> .F, $/+/*]; [F -> .F ^ G, $/+/*/^]; [F -> .G, $/+/*/^]; [G -> .- G, $/+/*/^]; [G -> .Z, $/+/*/^]; [Z -> .( E ), $/+/*/^]; [Z -> .n, $/+/*/^]}"
"goto(2, *)","{[T -> T *.F, $/+/*]}",10,"{[T -> T *.F, $/+/*]; [F -> .F ^ G, $/+/*/^]; [F -> .G, $/+/*/^]; [G -> .- G, $/+/*/^]; [G -> .Z, $/+/*/^]; [Z -> .( E ), $/+/*/^]; [Z -> .n, $/+/*/^]}"
"goto(3, ^)","{[F -> F ^.G, $/+/*/^]}",11,"{[F -> F ^.G, $/+/*/^]; [G -> .- G, $/+/*/^]; [G -> .Z, $/+/*/^]; [Z -> .( E ), $/+/*/^]; [Z -> .n, $/+/*/^]}"
"goto(5, G)","{[G -> - G., $/+/*/^]}",12,"{[G -> - G., $/+/*/^]}"
"goto(5, -)","{[G -> -.G, $/+/*/^]}",5,
"goto(5, Z)","{[G -> Z., $/+/*/^]}",6,
"goto(5, ()","{[Z -> (.E ), $/+/*/^]}",7,
"goto(5, n)","{[Z -> n., $/+/*/^]}",8,
